fen	bestmove	score_cp	multipv	suite	split	case_id	random_prefix	takeover_plies	final_ply	worker	attempt
r1bCka2r/3c3n1/4b4/pcp1p3p/6P2/P7P/2P1P4/5A2B/9/R1BAK2NR b	a9a7	3254	1:a9a7:3254;2:e9d9:3210;3:a9a8:3030;4:c9a7:2669	random_pikafish_takeover	seed	case-000001	25	2	27	0	1
2bak1b2/R3a4/n7r/4c3p/r3p1p2/2P1P1P2/8P/2N5B/9/2BAKA3 b	i7f7	9999	1:i7f7:9999;2:e9f9:9999;3:e5e4:6382;4:a5d5:5950	random_pikafish_takeover	seed	case-000002	53	2	55	5	1
4k4/7R1/bn1r1a3/p5p2/2p1p3p/4P3P/P1P6/4c1C2/3r5/1cBAKABN1 b	d1d0	31996	1:d1d0:31996;2:d1f1:31996;3:d1c1:31996;4:d1g1:31996	random_pikafish_takeover	seed	case-000003	75	2	77	4	1
1nb2ab2/3k5/2r2an2/4p1C2/2p3prp/2p3P2/P3R4/N8/9/2BAKAB2 b	c7d7	3812	1:c7d7:3812;2:g9e7:3779;3:g5g4:3692;4:b9a7:3696	random_pikafish_takeover	seed	case-000004	75	2	77	3	1
2bnka1r1/1C2n4/1c1ab4/p1p4Pp/4PN3/2B6/P7P/2N1B4/4A4/R3KA2R w	a0b0	5538	1:a0b0:5538;2:a0d0:5120;3:b8b9:5204;4:i0g0:5168	random_pikafish_takeover	seed	case-000005	70	2	72	1	1
3akr2r/9/Rn2ban2/6p2/PC2p4/2B6/2P1P1Pp1/N3B2R1/9/3AKA3 w	h2h1	4401	1:h2h1:4401;2:h2h0:4386;3:h2g2:4319;4:h2h3:4288	random_pikafish_takeover	seed	case-000006	80	2	82	2	1
rnbakab1r/4n4/7c1/p1p1p1p1p/9/4P2CP/P1P3P2/1C6B/4A4/1NB1KA1NR b	e8d6	2938	1:e8d6:2938;2:e8f6:2921;3:h7e7:2844;4:b9c7:2739	random_pikafish_takeover	seed	case-000007	13	2	15	0	2
rc1ak3r/4a4/b1n1c1n1b/p1p1p1p1p/9/2B3P2/P1P1P3P/3CB3C/4A4/1R2KA1NR w	h0g2	-1508	1:h0g2:-1508;2:b0b6:-1548;3:c4a2:-1707;4:b0b8:-1748	random_pikafish_takeover	seed	case-000008	18	2	20	3	2
rnba1abn1/5k2r/4c4/p1p1C1p1p/9/5cP2/P1P1P3P/4C3B/5N3/RNBAKA2R w	i0h0	2842	1:i0h0:2842;2:e6e4:2626;3:f1g3:2509;4:f1d2:2467	random_pikafish_takeover	seed	case-000009	12	2	14	1	2
r1bak4/2n1anr2/5c2b/6c2/p1p1p1p1p/2B3P1P/P1P1P4/R8/4K2C1/1NBA1AC1R w	e1e0	-3239	1:e1e0:-3239;2:g4g5:-3352;3:a2h2:-3428;4:i4i5:-3369	random_pikafish_takeover	seed	case-000010	56	2	58	5	2
r1b2a1n1/4k4/b2a5/p1p1p4/C1c3pP1/1R2P1B2/P5P2/7C1/3N5/3AKABNr b	h9i7	386	1:h9i7:386;2:h9g7:281;3:h9f8:44;4:a9a8:-33	random_pikafish_takeover	seed	case-000011	67	2	69	4	2
2b2ab1r/4k2c1/n4a3/2C1p4/p5p1p/P3P1P1P/1cP6/5AR2/3R5/2BAK1BN1 w	c6a6	3408	1:c6a6:3408;2:c6b6:3281;3:c6c4:3250;4:c6c5:3155	random_pikafish_takeover	seed	case-000012	44	2	46	2	2
2b1kabCr/r3a3n/2n6/4p1p1p/p1p6/6P1P/P1P1P4/B3KC3/4A4/R2A2cNR b	g0i0	5900	1:g0i0:5900;2:i9h9:5861;3:c7d5:5724;4:c7b5:5525	random_pikafish_takeover	seed	case-000013	31	2	33	0	3
